id,label
110499,1
101319,0
108883,0
100925,1
110852,1
109538,1
108874,1
100082,1
110470,0
109725,1
103874,0
108214,0
102266,1
112940,1
102318,0
102162,1
106268,1
101888,0
108397,1
100901,1
106980,0
106283,0
110891,1
103818,0
111938,1
106200,0
109116,1
107311,1
102213,1
112378,1
110819,1
112456,0
110846,1
104540,0
110136,1
110718,1
103530,1
101797,1
110143,0
102987,1
108970,0
102506,1
109392,0
100695,1
103336,0
110388,0
101995,1
109812,0
107717,1
106342,1
112201,0
104207,1
105057,1
100110,1
103594,0
110747,0
101456,0
108880,0
103008,1
112871,1
101314,1
110408,1
110125,1
106336,1
104844,1
101023,0
110072,0
107032,1
105883,0
101843,0
108219,0
110919,1
104064,1
103193,1
100828,1
103003,1
101164,1
100528,1
103058,1
105311,0
103760,1
106328,1
102560,0
112713,1
110644,1
100809,0
110002,1
100998,0
107593,0
110869,0
109575,1
104607,1
100909,1
106267,1
112285,1
109520,1
100407,1
101775,1
100014,1
103061,0
112266,0
112412,0
109710,0
110987,0
109718,1
104144,1
103589,1
102550,0
106958,1
103499,1
111890,1
109223,0
106925,0
108481,0
112029,0
108155,0
105843,0
101345,0
107741,0
102728,0
100850,1
100504,1
105346,1
109888,1
108400,1
104394,1
101142,1
102330,0
108077,1
101814,1
102177,0
109238,1
100574,1
109178,0
106081,1
106866,1
109104,0
105642,0
100929,1
101772,0
103053,1
102481,0
107776,1
105950,1
103950,1
103100,0
109152,1
107769,1
103549,1
104228,1
107568,0
110815,0
111073,1
103370,0
109466,1
111769,1
112206,1
107069,1
105031,1
111235,1
103743,1
104359,1
111945,0
108791,0
109643,1
101520,1
112325,0
101469,0
108466,1
103537,1
108822,1
102741,0
101743,1
104771,1
100372,1
102904,1
106915,1
102556,0
101691,1
108082,1
110304,1
108477,1
104413,1
107838,1
105236,0
104888,0
108660,1
101097,1
100898,0
109257,1
111778,0
110487,1
109544,0
103107,1
107387,1
110344,1
111476,1
105187,0
107940,1
110249,0
104546,0
104241,1
109098,1
112880,1
103990,1
104564,1
109692,0
100304,0
101494,1
101688,1
111661,1
101406,1
112311,1
103768,0
108906,0
106001,1
107261,1
110949,1
111273,0
100640,1
107352,1
110660,1
106307,0
103154,1
111774,0
110081,1
112079,1
104736,1
104177,1
105138,1
103292,1
100016,1
111430,0
104809,0
103027,1
107704,0
110441,1
107177,1
109366,1
111095,1
100937,0
110243,1
104071,0
102230,1
100006,1
106089,0
100475,1
103025,0
105558,1
102373,1
102413,1
110502,1
100718,0
111564,1
104578,1
102524,1
105505,1
105822,1
107768,1
104746,1
103572,0
111349,0
105990,0
101898,1
111599,0
105625,0
110983,1
101698,0
102444,1
106942,0
112167,1
110343,1
102487,1
102324,0
101909,0
109097,1
112284,1
106728,1
100520,0
106520,1
111748,0
109923,1
112841,0
100904,0
102151,0
109478,1
106786,1
111885,1
106019,1
101001,1
104347,1
107252,1
101006,0
107273,1
106234,1
105976,0
110358,0
104906,1
112316,1
108597,0
100961,1
107412,1
102753,1
102348,1
111274,1
106296,0
110746,0
112058,1
103325,1
109233,1
103252,1
102264,0
103083,0
102659,1
100786,0
109234,1
105808,0
111093,1
108148,1
101394,1
110584,1
109972,0
110836,1
100721,1
110938,1
104584,0
105383,1
106788,1
106155,1
112908,1
102150,1
105203,1
101715,1
112455,0
108842,0
110082,1
112942,1
100705,1
112726,1
106994,1
101067,0
107180,0
106284,0
103534,1
102845,1
111677,0
112109,1
102912,1
105550,1
106888,1
108368,1
105278,1
107129,1
109092,0
108075,0
112502,1
108458,1
104122,1
100248,0
107418,0
104573,0
110435,1
104076,1
100580,1
103249,0
107921,0
111163,1
104534,0
111762,1
101005,1
112380,0
104189,1
111382,1
111360,1
111491,1
104634,1
100019,1
108508,1
101208,1
100406,0
109405,1
110400,1
110944,1
109839,0
109048,0
108306,1
106725,1
104821,1
108233,1
108501,1
112805,0
109357,1
101950,1
109081,1
104895,1
107504,0
105095,0
103218,0
109781,0
104440,1
102486,1
105292,1
109455,1
107573,0
108675,1
107912,1
101256,1
108732,0
105884,0
105742,0
110252,1
101160,1
102337,1
104059,1
104964,0
109072,0
107310,0
101555,1
112589,0
107524,0
105359,1
101799,1
106124,1
109952,1
103740,0
111591,1
106796,1
108702,1
102925,1
109750,1
101117,0
110173,1
104216,1
108034,0
111464,1
101690,1
102502,1
104017,1
104969,1
106563,1
102708,1
104315,1
107949,1
101783,0
112633,1
109523,0
101952,1
104913,1
106127,1
109918,1
103597,1
100626,1
110532,1
111904,1
104702,0
112522,0
103890,1
111598,0
101615,1
104742,1
102436,1
109227,1
106660,0
104631,0
101201,0
101200,0
100783,1
105728,1
104586,1
112391,1
100594,1
106204,1
109619,0
111640,1
110300,1
100675,1
105688,1
103735,0
110467,1
110687,1
107239,1
106822,0
100222,1
100932,0
112107,1
107176,1
110279,0
107633,1
100726,1
100441,0
107750,1
109585,1
109177,1
111735,1
110367,1
111448,1
105273,1
100521,0
107166,1
101999,1
107806,1
107204,1
111201,1
106867,1
102427,1
101807,1
101717,1
101798,1
111477,1
102644,1
102501,1
108035,1
111521,1
101537,1
108356,1
100286,0
107242,1
111714,0
105167,0
110132,1
111089,1
103455,0
108129,1
108659,1
105818,0
112405,1
107955,0
102699,1
109322,0
106530,1
103531,1
106449,1
108177,1
112243,0
111503,1
112610,0
109879,1
101320,1
105521,1
106854,1
103015,0
102806,1
111549,0
109175,0
106923,0
110101,1
105515,1
106881,0
108681,1
103213,1
112889,1
101859,1
109701,1
107681,0
106195,1
109674,0
103005,1
111013,1
106148,1
101946,1
107392,1
106944,1
111628,1
112535,0
102976,0
111976,0
108753,1
